Merchant_Name,City,Count_of_transactions,,,,,
more aditya birla reta,new delhi,3592,,,,,
evergreen,new delhi,3587,,,,,
anil auto service,noida,3582,,,,,
sparkle breweries pvt ltd,new delhi,3578,,,,,
om sai,greater noida,3578,,,,,
harvinder and co,new delhi,3574,,,,,
ring road service,new delhi,3567,,,,,
qutab service station,new delhi,3567,,,,,
iocl saviour filling s,noida,3559,,,,,
rajdhani service,new delhi,3549,,,,,
dominos pizza,noida,3520,,,,,
enroute sahays,gurgaon,3508,,,,,
airport service statio,new delhi,3501,,,,,
aggarwal sweet corner pvt,new delhi,3492,,,,,
incs delhi,new delhi,3467,,,,,
servi circle,new delhi,3460,,,,,
bata india,new delhi,3441,,,,,
jai shree krishna,new delhi,3433,,,,,
artemis health,gurgaon,3430,,,,,
igl mayur vihar,new delhi,3381,,,,,
travel bazaar,new delhi,3379,,,,,
vodafone idea ltd,new delhi,3379,,,,,
sanjeev indian oil,new delhi,3375,,,,,
naveen travels and tou,new delhi,3364,,,,,
shreejee foods,noida,3364,,,,,
sagar ratna restaurant,new delhi,3363,,,,,
cinepolis india pvt lt,new delhi,3346,,,,,
max super,new delhi,3326,,,,,
alps hospital,gurgaon,3301,,,,,
uma medicare ltd,noida,3277,,,,,
central,gurgaon,3272,,,,,
victory service statio,new delhi,3271,,,,,
iglvasant kunj,new delhi,3252,,,,,
max hypermarket india pvt,gurgaon,3248,,,,,
matta automobiles,new delhi,3247,,,,,
paras automobiles,new delhi,3237,,,,,
soami service,new delhi,3200,,,,,
air force canteen,new delhi,3184,,,,,
sahid surendar pal fil,noida,3178,,,,,
okhla service,new delhi,3163,,,,,
tej service station,new delhi,3162,,,,,
ganga petro,new delhi,3150,,,,,
rapid metrorail gurgao,gurgaon,3146,,,,,
aakash health care,new delhi,3134,,,,,
urc fund account,new delhi,3117,,,,,
life style intl pvt ltd,noida,3111,,,,,
vestige marketing pvt ltd,new delhi,3101,,,,,
surender gupta,new delhi,3094,,,,,
khandelwal oil co,gurgaon,3071,,,,,
dr lal path,new delhi,3068,,,,,
haldiram spice mall,new delhi,3063,,,,,
indian oil corporation lt,noida,3062,,,,,
c m enterprises,new delhi,3050,,,,,
ayyan foods,noida,3047,,,,,
anup service,new delhi,3042,,,,,
singla sweets,new delhi,3030,,,,,
igl c r r i,new delhi,3016,,,,,
hira sweets and,new delhi,3008,,,,,
auto care centre,new delhi,2999,,,,,
rajinder da,new delhi,2990,,,,,
indraprastha,new delhi,2984,,,,,
r n motors,new delhi,2977,,,,,
sher service station,new delhi,2970,,,,,
rajesh wine agency,gurgaon,2969,,,,,
ruchika service statio,new delhi,2968,,,,,
martin motors,new delhi,2968,,,,,
syall service,new delhi,2963,,,,,
rwl healthworld,noida,2948,,,,,
shaheed surendra,noida,2944,,,,,
rel retail ltdsmart,new delhi,2917,,,,,
rajasthan rajpath,new delhi,2910,,,,,
kaushalya auto,new delhi,2900,,,,,
welcome autos,new delhi,2893,,,,,
shreyans automobiles,new delhi,2892,,,,,
tbn holidays,new delhi,2889,,,,,
life style,gurgaon,2882,,,,,
urc af canteen,new delhi,2858,,,,,
mrg fashions pvt ltd,new delhi,2847,,,,,
igl noida sec,new delhi,2840,,,,,
the delhi hospital soc,new delhi,2838,,,,,
bp green park,new delhi,2831,,,,,
igl patparganj mega,new delhi,2807,,,,,
vrindavan apparels pvt,new delhi,2805,,,,,
amway india enterpris,new delhi,2797,,,,,
deepak automobiles bpcl,new delhi,2795,,,,,
shanti service,new delhi,2794,,,,,
paras health care,gurgaon,2780,,,,,
igllodi road,new delhi,2773,,,,,
indospirit,new delhi,2766,,,,,
vijay sales,new delhi,2750,,,,,
delhivery,new delhi,2745,,,,,
titan company limited,new delhi,2736,,,,,
rna agencies,new delhi,2732,,,,,
kundan lal service sta,new delhi,2730,,,,,
hp center,noida,2723,,,,,
hp centre,noida,2721,,,,,
life style intl pvt ltd,new delhi,2721,,,,,
saran motors private l,new delhi,2706,,,,,
cinepolis india pvt lt,noida,2706,,,,,
connaught plaza restau,noida,2702,,,,,
chairman dry canteen i,new delhi,2701,,,,,
janta filling station,gurgaon,2695,,,,,
yaj filling station,gurgaon,2694,,,,,
green chick chop,new delhi,2690,,,,,
burger king,gurgaon,2687,,,,,
auto centre bpcl,new delhi,2673,,,,,
deepak motors,new delhi,2664,,,,,
jaglan filling,new delhi,2661,,,,,
needs supermarket,gurgaon,2660,,,,,
igl dwarka,new delhi,2660,,,,,
vishal mega mart hd,new delhi,2650,,,,,
igl chilla,new delhi,2647,,,,, 
delhi auto mobiles,new delhi,2635,,,,,
pace city auto,gurgaon,2633,,,,,
devki devi,new delhi,2629,,,,,
kundan lal and sons,noida,2622,,,,,
igl dilshad garden,new delhi,2609,,,,,
sita services,gurgaon,2606,,,,,
barbeque nation,new delhi,2603,,,,,
rwl healthworld,gurgaon,2595,,,,,
sarita service station,new delhi,2591,,,,,
decathlon sports,noida,2589,,,,,
vishal mega,new delhi,2583,,,,,
ish travels,new delhi,2581,,,,,
national service,new delhi,2576,,,,,
price smart,noida,2572,,,,,
le marche,gurgaon,2570,,,,,
pizza hut,gurgaon,2564,,,,,
buddy t delhi retail,new delhi,2558,,,,,
air force,noida,2555,,,,,
bachat bazaar,new delhi,2553,,,,,
vishal mega mart,gurgaon,2548,,,,,
petrol fuels,gurgaon,2534,,,,,
indraprastha gas limit,new delhi,2533,,,,,
jawala service,gurgaon,2528,,,,,
delhi duty,new delhi,2526,,,,,
fashionbig bazaar,new delhi,2504,,,,,
chaayos,new delhi,2501,,,,,
city fuels,gurgaon,2499,,,,,
meer singh fuel point,gurgaon,2483,,,,,
subway,gurgaon,2477,,,,,
travel sevak,new delhi,2477,,,,,
mahendra,new delhi,2474,,,,,
speedways service,new delhi,2469,,,,,
chunmun store pvt ltd,new delhi,2460,,,,,
iglrk puram sector,new delhi,2452,,,,,
dominos,noida,2450,,,,,
anil filling,new delhi,2449,,,,,
vaaibhav,gurgaon,2442,,,,,
tata starbucks,gurgaon,2442,,,,,
hotspot,new delhi,2437,,,,,
the grand venice,greater noida,2427,,,,,
pioneer gel pvt ltd,new delhi,2422,,,,,
singh service,new delhi,2410,,,,,
chadha service station,new delhi,2408,,,,,
shaheed nanak,gurgaon,2408,,,,,
max insurance limited,gurgaon,2399,,,,,
chadha oil company,new delhi,2399,,,,,
madura fashion and lif,new delhi,2398,,,,,
madura fashion lifes,new delhi,2398,,,,,
kond li bazar pvt,new delhi,2391,,,,,
wine n beer,noida,2389,,,,,
bhasin service station,new delhi,2370,,,,,
atcost technology se,gurgaon,2370,,,,,
delhi airport,new delhi,2362,,,,,
hemkunt service statio,new delhi,2349,,,,,
igl r k puram sec iii,new delhi,2348,,,,,
narang garments,new delhi,2344,,,,,
kavinder,new delhi,2343,,,,,
sushanti filling,new delhi,2326,,,,,
indian oil,gurgaon,2324,,,,,
sethi auto service sta,new delhi,2323,,,,,
red tape shoes,new delhi,2318,,,,,
food bazaar,new delhi,2314,,,,,
mohan lal gupta,new delhi,2312,,,,,
patanjali mega store,new delhi,2312,,,,,
haldiram akshardham ne,new delhi,2312,,,,,
bharat hp centre,new delhi,2300,,,,,
rajinder service,new delhi,2299,,,,,
haldiram logix city ce,noida,2299,,,,,
sodhi super market,gurgaon,2294,,,,,
hpcl auto care center,gurgaon,2293,,,,,
maitri motors,gurgaon,2290,,,,,
batra hospital and med,new delhi,2289,,,,,
haldiram mathura road,new delhi,2289,,,,,
shokeen petro,new delhi,2286,,,,,
jaipur golden,new delhi,2278,,,,,
shoppers stop ltd,gurgaon,2276,,,,,
fortis hospitals,gurgaon,2274,,,,,
khyber service station,new delhi,2273,,,,,
manager cpc ib mha,new delhi,2266,,,,,
krishna super marche,new delhi,2263,,,,,
hotel saravana bhavan,new delhi,2262,,,,,
hundred percent,new delhi,2260,,,,,
sargam india,new delhi,2258,,,,,
old rao hotel,gurgaon,2258,,,,,
bata india ltd,new delhi,2256,,,,,
amazon seller,gurgaon,2254,,,,,
jai sai motors,new delhi,2252,,,,,
croma infiniti retai,new delhi,2243,,,,,
wine shop,new delhi,2243,,,,,
shivalik,new delhi,2240,,,,,
relaxo footwears,new delhi,2240,,,,,
dolphin liquor trading,new delhi,2237,,,,,
subsidiary canteen cpc,new delhi,2232,,,,,
old world hospitality pvt,new delhi,2224,,,,,
navyug service,new delhi,2221,,,,,
geeta fuels,gurgaon,2217,,,,,
panchshila service sta,new delhi,2214,,,,,
ramnath jaiswal,noida,2213,,,,,
sodexo institute of le,new delhi,2213,,,,,
munafa mart,new delhi,2203,,,,,
pasricha pharmacy,gurgaon,2202,,,,,
meru,new delhi,2188,,,,,
s s anjana,gurgaon,2187,,,,,
wave cinema,noida,2180,,,,,
l t vijayant motors,noida,2172,,,,,
afwwa l hq wac u af,new delhi,2160,,,,,
car care,new delhi,2158,,,,,
defence services offic,new delhi,2156,,,,,
export hut,new delhi,2155,,,,,
iglpatpatganj,new delhi,2153,,,,,
vayu sena vatika,gurgaon,2150,,,,,
shaheed major,noida,2144,,,,,
iglkapashera,new delhi,2137,,,,,
delhi automobiles ltd,new delhi,2136,,,,,
igl dwarka sec ix,new delhi,2136,,,,,
hpcl ugrasain and sons,new delhi,2132,,,,,
guru service station,new delhi,2123,,,,,
hindustan,noida,2110,,,,,
tobacco king,gurgaon,2109,,,,,
igl dwarka sec,new delhi,2104,,,,,
columbia asia,gurgaon,2102,,,,,
sethi auto service statio,new delhi,2101,,,,,
the liquor store,new delhi,2096,,,,,
mithaas,noida,2093,,,,,
travel news,new delhi,2091,,,,,
indian oil corporation lt,new delhi,2089,,,,,
rave tgip noida,noida,2078,,,,,
igl cgo complex,new delhi,2076,,,,,
susheel kumar,new delhi,2072,,,,,
modern bazar,new delhi,2071,,,,,
noida automobiles,noida,2071,,,,,
s vidya service station,new delhi,2069,,,,,
auto care centre hpcl,gurgaon,2068,,,,,
saksham motors,new delhi,2051,,,,,
kingsway service station,new delhi,2051,,,,,
igl greater noida bet,new delhi,2050,,,,,
bansiwal service stati,new delhi,2045,,,,,
bses rajdhani,new delhi,2044,,,,,
sanjeev filling,new delhi,2039,,,,,
max hypermarket india,gurgaon,2035,,,,,
max standard,new delhi,2034,,,,,
hira sweets,new delhi,2026,,,,,
blue skies travels and,new delhi,2017,,,,,
jantafilling station,gurgaon,2014,,,,,
fab india overseas pvt,new delhi,2010,,,,,
the liquor,new delhi,2008,,,,,
inox,new delhi,2008,,,,,
gupta service station,new delhi,2007,,,,,
taneja service station,new delhi,2004,,,,,
deepika auto,new delhi,2002,,,,,
ruchika service station,new delhi,2001,,,,,
reliance fresh,new delhi,1994,,,,,
igl vivek vihar,new delhi,1991,,,,,
tfs delhi,new delhi,1987,,,,,
vishal mega mart,noida,1984,,,,,
jiwan service,new delhi,1976,,,,,
karmveer filling,gurgaon,1975,,,,,
deep fuel centre,new delhi,1969,,,,,
kfc domestic,new delhi,1966,,,,,
dominos,gurgaon,1961,,,,,
marks and spencer relia,new delhi,1959,,,,,
shri ram fuel co,new delhi,1959,,,,,
motor centre,new delhi,1957,,,,,
aero club woodland,new delhi,1957,,,,,
igljasola,new delhi,1953,,,,,
aravali service,new delhi,1952,,,,,
the federal travels an,new delhi,1952,,,,,
anand service station,new delhi,1947,,,,,
united fuel station,new delhi,1938,,,,,
capital oil agency,new delhi,1936,,,,,
pawan kumar verma,new delhi,1935,,,,,
xpress ration,noida,1935,,,,,
human care medical cha,new delhi,1935,,,,,
,gurgaon,1931,,,,,
walia service station,new delhi,1930,,,,,
ls intl pvt ltdpacific,new delhi,1928,,,,,
cpc subsidiary canteen,new delhi,1926,,,,,
auto fuels,new delhi,1923,,,,,
spencers,noida,1918,,,,,
savita filling station,new delhi,1916,,,,,
gurgaon fuel centre,gurgaon,1916,,,,,
citi fuels,new delhi,1911,,,,,
twenty four seven,noida,1907,,,,,
incense,new delhi,1906,,,,,
titan company,new delhi,1895,,,,,
patanjali,new delhi,1890,,,,,
more aditya birla reta,gurgaon,1885,,,,,
miniso life style,new delhi,1882,,,,,
shree sai fuels,gurgaon,1881,,,,,
blue skies travel and,new delhi,1880,,,,,
sahas filling,new delhi,1878,,,,,
ddo cisf dry canteen i,new delhi,1877,,,,,
mann service station,new delhi,1875,,,,,
batra car care centre,new delhi,1872,,,,,
puran store,new delhi,1870,,,,,
believe trade link pvt lt,gurgaon,1870,,,,,
jain serv station,noida,1868,,,,,
balwan service station,new delhi,1867,,,,,
hindustan fuels,gurgaon,1865,,,,,
gymkhana service stati,new delhi,1862,,,,,
lots wholesale solutio,noida,1860,,,,,
lt vijyant motors,noida,1859,,,,,
gujrathi svad,new delhi,1857,,,,,
market,new delhi,1855,,,,,
yoyo distillers and bottl,new delhi,1855,,,,,
hpcl bharat hp centre,new delhi,1850,,,,,
sitaram bhartia,new delhi,1848,,,,,
igl sarai kale khan i,new delhi,1847,,,,,
keel kar service stati,new delhi,1847,,,,,
ch aishi ram batra and,new delhi,1845,,,,,
mangal,new delhi,1838,,,,,
dreamfolks,gurgaon,1831,,,,,
chaayos,gurgaon,1831,,,,,
rama service station,new delhi,1830,,,,,
haldiram cross river,new delhi,1823,,,,,
future retail ltd,gurgaon,1822,,,,,
khadi gramodhyog bhawa,new delhi,1816,,,,,
kapoor service station,new delhi,1810,,,,,
style shoes,new delhi,1809,,,,,
chai point,gurgaon,1806,,,,,
aggarwal,new delhi,1805,,,,,
csd canteen hq,new delhi,1805,,,,,
guardian healthcare t,new delhi,1803,,,,,
csd canteen hqdgbr,new delhi,1803,,,,,
cloudnine,gurgaon,1802,,,,,
veer service station,new delhi,1802,,,,,
golden goal,new delhi,1800,,,,,
auto yard,new delhi,1799,,,,,
non csd grocery shop,new delhi,1795,,,,,
shankar filling station,new delhi,1792,,,,,
bhagwati departmental,gurgaon,1782,,,,,
evergreen service sati,new delhi,1782,,,,,
v retail limited,new delhi,1781,,,,,
auto centre,new delhi,1777,,,,,
om sweets pvt ltd,new delhi,1774,,,,,
fuel and fun,gurgaon,1773,,,,,
sarita service,new delhi,1768,,,,,
iglgovindpuram a bloc,new delhi,1764,,,,,
bakshi enterprises,new delhi,1761,,,,,
millenium city express,gurgaon,1759,,,,,
chitra service,new delhi,1759,,,,,
komal and bros,new delhi,1756,,,,,
central police canteen,new delhi,1754,,,,,
janta filling,gurgaon,1753,,,,,
future retail ltd ea,new delhi,1751,,,,,
vishal mega mart,greater noida,1751,,,,,
pasco automobiles,gurgaon,1747,,,,,
unit run canteen army h,new delhi,1743,,,,,
bhagwati filling stati,new delhi,1742,,,,,
buddy distribution pvt,new delhi,1741,,,,,
hindustan service stat,new delhi,1740,,,,,
smart data processing,new delhi,1739,,,,,
aakash brothers,gurgaon,1737,,,,,
big chill cafe private,new delhi,1732,,,,,
urc base hospital,new delhi,1728,,,,,
 seven,new delhi,1728,,,,,
instakart,gurgaon,1721,,,,,
sher service,new delhi,1720,,,,,
igl pitampura new,new delhi,1718,,,,,
costa coffee,new delhi,1714,,,,,
kwality bazaar,new delhi,1714,,,,,
chanakyapuri service stat,new delhi,1711,,,,,
oic urc brd af,new delhi,1708,,,,,
p d fabrication,new delhi,1708,,,,,
choudhary service,new delhi,1704,,,,,
pvr limited,noida,1701,,,,,
komal and bros service st,new delhi,1698,,,,,
air india,new delhi,1694,,,,,
westside,new delhi,1688,,,,,
sagar ratna resturant,new delhi,1684,,,,,
market,noida,1682,,,,,
kitchner road service,new delhi,1678,,,,,
gautam filling,new delhi,1677,,,,,
iglsarita vihar,new delhi,1677,,,,,
institute of liver,new delhi,1676,,,,,
narain service station,new delhi,1675,,,,,
kanha bhog,noida,1674,,,,,
marks and spencer,new delhi,1671,,,,,
akaash auto centre,new delhi,1664,,,,,
indian oil,noida,1661,,,,,
mann service,new delhi,1659,,,,,
igl i f c,new delhi,1657,,,,,
pick n drive filling,new delhi,1655,,,,,
satya service station,new delhi,1655,,,,,
apollo pharmacy,new delhi,1653,,,,,
regiment csd,new delhi,1652,,,,,
delhi transport corpor,new delhi,1650,,,,,
h and m hennes and maurit,noida,1650,,,,,
vasundhra service,new delhi,1649,,,,,
ch aishi ram batra uni,new delhi,1648,,,,,
sant service,new delhi,1646,,,,,
tcs sector gurgaon,gurgaon,1644,,,,,
khan chacha,new delhi,1642,,,,,
garg dastak,gurgaon,1642,,,,,
arvind lifestyle,new delhi,1640,,,,,
chaayos,noida,1635,,,,,
ls intl pvt ltdgip noi,noida,1632,,,,,
arun vastra bhandaar p,new delhi,1630,,,,,
bata india limited,gurgaon,1630,,,,,
veejay service station,new delhi,1629,,,,,
jay garud gas stn,new delhi,1626,,,,,
luxmi super services,new delhi,1625,,,,,
ajay ahuja filling sta,new delhi,1624,,,,,
scorpio petro,new delhi,1621,,,,,
chitranjan suri,new delhi,1617,,,,,
modern bazaar,gurgaon,1617,,,,,
jindal service,new delhi,1616,,,,,
iocl coco niti marg,new delhi,1616,,,,,
nalli silk sarees,new delhi,1616,,,,,
r k service station,noida,1610,,,,,
croma infiniti retail,new delhi,1605,,,,,
s vidya service,new delhi,1599,,,,,
today bazaar,gurgaon,1598,,,,,
pizza hut,noida,1597,,,,,
shaheed anusuya dhayan,new delhi,1597,,,,,
atcost,gurgaon,1595,,,,,
aap ka bazar,new delhi,1593,,,,,
bikano chat cafe,new delhi,1591,,,,,
budget bazaar,new delhi,1588,,,,,
h and m hennes and maurit,gurgaon,1588,,,,,
sparkle breweries pvt,new delhi,1579,,,,,
pind balluchi,new delhi,1573,,,,,
haldiram youth plaza,noida,1572,,,,,
rohit verma,new delhi,1570,,,,,
station canteen,noida,1566,,,,,
igl punjabi bagh,new delhi,1562,,,,,
monte carlo,new delhi,1561,,,,,
yash filling station,new delhi,1556,,,,,
pantaloons p,gurgaon,1552,,,,,
wow momo,new delhi,1549,,,,,
gee kay services,new delhi,1548,,,,,
jai maa santoshi,gurgaon,1546,,,,,
ls intl pvt ltdmgf met,gurgaon,1542,,,,,
igl rk puram sec,new delhi,1539,,,,,
auto rest,new delhi,1539,,,,,
new modern,new delhi,1537,,,,,
roop filling station,new delhi,1534,,,,,
s i sales promotions p,new delhi,1531,,,,,
bata india limited,noida,1531,,,,,
sidhu service,new delhi,1530,,,,,
asia,gurgaon,1529,,,,,
gujrati svado,new delhi,1528,,,,,
puran store pvt ltd,new delhi,1524,,,,,
jay garud gas station,new delhi,1524,,,,,
bigway export,new delhi,1523,,,,,
metro hospital,noida,1522,,,,,
vestige marketing pvt,new delhi,1520,,,,,
delicious agro india p,new delhi,1516,,,,,
dhingra service,new delhi,1510,,,,,
ram murtee fuels,new delhi,1506,,,,,
bhagwati service stati,noida,1504,,,,,
theos,noida,1496,,,,,
raj super service,new delhi,1496,,,,,
dwarka sec,new delhi,1494,,,,,
fortune health care se,new delhi,1477,,,,,
manish agencies,new delhi,1474,,,,,
batra brothers co,new delhi,1472,,,,,
delhi diesels,new delhi,1468,,,,,
raghav filling,new delhi,1462,,,,,
dev sena service,new delhi,1459,,,,,
mother,gurgaon,1459,,,,,
miracles,gurgaon,1457,,,,,
indian spinal injuries,new delhi,1451,,,,,
dt mall,new delhi,1445,,,,,
anand super,new delhi,1442,,,,,
r k service stn,noida,1442,,,,,
a square wheels,gurgaon,1442,,,,,
indain oil,greater noida,1438,,,,,
mool chand,new delhi,1435,,,,,
kondli bazar,noida,1431,,,,,
sri balaji action,new delhi,1429,,,,,
m l sethi service stat,new delhi,1429,,,,,
i k tours and travels,new delhi,1428,,,,,
indian oil corp,new delhi,1428,,,,,
ms urc ed af,new delhi,1427,,,,,
gopi service station,new delhi,1427,,,,,
new modern bazaar depa,new delhi,1425,,,,,
honey money top retail,noida,1424,,,,,
fashion big bazaar,new delhi,1422,,,,,
lakshya buildtek,gurgaon,1422,,,,,
